population,gdp,clean_cons_per_capita,clean_consumption,clean_share_energy,fossil_cons_per_capita,fossil_consumption,fossil_share_energy,electricity_demand,energy_per_gdp
31619456.0,1230000000000.0,37494.837,1185.566,31.947,78919.538,2495.392,67.243,566.64,3.028
31911670.0,1270000000000.0,38474.847,1227.796,32.584,78622.421,258.973,66.585,571.88,2.974
32215914.0,1310000000000.0,4169.497,1294.97,34.115,76668.94,2469.932,65.113,582.62,2.893
32531864.0,1350000000000.0,3931.26,1278.836,33.93,75766.167,2464.814,65.342,573.52,2.795
32862458.0,1380000000000.0,39792.692,137.686,33.393,78496.124,2579.576,65.874,582.02,2.835
33218542.0,1400000000000.0,4276.177,1337.915,34.577,7544.31,256.17,64.765,582.68,2.766
33593920.0,1360000000000.0,38613.444,1297.176,34.89,7127.491,2392.138,64.341,561.51,2.731
33963416.0,1410000000000.0,36816.447,125.412,33.3,72775.588,2471.77,65.825,556.12,2.668
34323536.0,1460000000000.0,38719.49,1328.987,34.12,73867.572,2535.396,65.6,574.98,2.677
34691876.0,1480000000000.0,38794.83,1345.865,34.425,72892.116,2528.764,64.682,565.29,2.642
35063696.0,1510000000000.0,3979.653,1392.367,34.771,73489.624,2576.818,64.35,586.85,2.643
35404616.0,1550000000000.0,38859.537,1375.87,34.267,73659.729,267.894,64.955,588.76,2.587
35732120.0,1570000000000.0,38948.656,1391.718,34.44,73248.569,2617.326,64.771,576.77,2.582
36113532.0,1590000000000.0,38883.638,144.226,35.236,7466.667,2544.8,63.855,581.08,2.513
36554344.0,1640000000000.0,38956.79,1424.4,35.162,7889.545,2591.321,63.984,582.55,2.475
37035260.0,1670000000000.0,37723.558,1397.12,34.28,71641.651,2653.267,64.968,587.68,2.446
15351803.0,233000000000.0,3675.289,56.422,18.161,16276.477,249.874,8.426,40.09,1.336
15523973.0,239000000000.0,414.91,63.712,2.333,15734.412,244.262,77.952,41.97,1.312
15693798.0,242000000000.0,4313.772,67.699,2.865,15998.591,251.78,77.383,44.17,1.338
15859114.0,250000000000.0,4134.644,65.571,2.333,15858.839,251.57,77.989,46.84,1.292
16017966.0,263000000000.0,3773.31,6.44,17.853,16956.96,271.615,8.232,50.56,1.287
16175315.0,276000000000.0,4528.79,73.253,2.794,16897.75,273.326,77.585,52.77,1.275
16334573.0,292000000000.0,4916.146,8.33,21.352,17828.438,291.22,77.433,55.86,1.289
16495543.0,304000000000.0,383.51,63.187,16.463,18914.85,311.999,81.294,57.61,1.262
16661463.0,313000000000.0,499.65,68.296,17.911,1898.72,31.551,79.84,57.52,1.219
16833450.0,306000000000.0,419.42,7.54,18.88,17361.856,292.26,78.223,58.04,1.222
17004166.0,321000000000.0,364.887,61.298,16.357,17792.685,32.55,8.736,59.22,1.166
17173568.0,339000000000.0,3348.828,57.511,14.121,19564.852,335.998,82.497,62.77,1.203
17341770.0,357000000000.0,3252.475,56.44,13.518,1975.866,341.734,81.94,65.76,1.17
17509926.0,371000000000.0,3184.448,55.759,13.215,19655.287,344.163,81.568,68.17,1.138
17687108.0,378000000000.0,3821.67,67.584,16.341,1866.765,33.55,79.87,69.95,1.094
17870122.0,386000000000.0,483.322,72.97,17.232,18618.934,332.723,78.573,71.75,1.096
18083880.0,393000000000.0,3655.39,66.14,14.876,19728.816,356.774,8.293,73.36,1.132
18368582.0,397000000000.0,4179.467,76.771,17.113,1895.518,348.94,77.595,74.18,1.129
18701452.0,413000000000.0,4537.478,84.858,18.128,18936.752,354.145,75.657,76.74,1.134
1264099072.0,5950000000000.0,559.263,76.964,5.991,8769.295,1185.259,93.941,1346.85,1.982
1272739584.0,6330000000000.0,68.87,866.49,6.949,911.631,11595.461,92.987,1472.19,1.97
1280926080.0,6810000000000.0,714.494,915.214,6.739,9881.281,12657.191,93.22,1645.6,1.993
1288873344.0,7250000000000.0,737.959,951.137,6.13,11529.115,14859.568,93.936,1903.22,2.182
1296816768.0,7830000000000.0,9.837,1168.22,6.311,13365.722,17332.892,93.645,2197.23,2.364
1304887552.0,8600000000000.0,993.864,1296.883,6.168,1517.312,19713.343,93.752,2494.08,2.444
1313086592.0,9490000000000.0,175.837,1412.668,6.13,16459.682,21612.988,93.772,2858.84,2.429
1321513216.0,10400000000000.0,1187.733,1569.65,6.266,17743.491,23448.258,93.69,3271.23,2.418
1330167168.0,10800000000000.0,1524.829,228.277,7.795,18.249,23943.341,92.23,3482.96,2.409
1339125632.0,11600000000000.0,1497.12,24.831,7.382,18734.282,2587.558,92.373,3703.26,2.347
1348191360.0,12900000000000.0,173.41,2332.427,8.28,19761.545,26642.343,91.698,4173.8,2.259
1357095424.0,13700000000000.0,174.8,2362.43,7.54,21282.958,28883.5,92.179,4678.61,2.292
1366560768.0,14400000000000.0,2153.34,2942.672,9.2,21646.724,29581.563,9.684,4956.48,2.272
1376100352.0,15300000000000.0,2329.565,325.715,9.471,22181.278,3523.665,9.179,5397.41,2.212
1385189632.0,16200000000000.0,277.957,3751.34,1.767,22334.355,3937.318,88.89,5756.9,2.148
1393715456.0,16700000000000.0,2924.923,476.512,11.554,22267.96,3133.996,87.957,5775.36,2.111
1401889664.0,17300000000000.0,32.139,4486.242,12.54,22249.851,31191.837,86.943,6078.25,2.079
1410275968.0,17600000000000.0,3463.542,4884.549,13.162,22671.857,31973.577,86.154,6545.21,2.112
1417069440.0,18200000000000.0,384.158,539.755,13.973,2328.958,32888.75,85.252,7105.38,2.125
39215136.0,331000000000.0,2323.775,91.127,29.52,5634.717,22.966,7.444,42.25,0.949
39837876.0,336000000000.0,2332.93,92.938,3.92,5379.964,214.326,69.396,42.29,0.919
40454056.0,344000000000.0,2451.192,99.161,32.183,5126.283,27.379,67.37,43.46,0.894
41057688.0,358000000000.0,2555.783,14.935,32.894,5175.53,212.496,66.611,44.48,0.891
41648272.0,377000000000.0,2656.211,11.627,34.46,519.675,212.89,65.495,47.16,0.862
42220944.0,395000000000.0,2667.999,112.646,34.56,513.678,211.681,64.947,47.6,0.826
42772912.0,421000000000.0,2868.935,122.712,33.687,568.655,239.899,65.858,50.94,0.866
43306592.0,450000000000.0,2931.541,126.955,34.74,5469.649,236.872,64.818,53.36,0.812
43815316.0,466000000000.0,322.842,132.447,33.529,5955.44,26.939,66.59,53.55,0.848
44313916.0,473000000000.0,2669.168,118.281,3.551,5995.454,265.682,68.623,54.79,0.818
44816104.0,492000000000.0,2653.43,118.916,29.221,6347.957,284.49,69.97,55.83,0.827
45308896.0,524000000000.0,318.695,14.852,33.47,682.169,275.576,65.485,57.39,0.803
45782420.0,545000000000.0,316.29,138.89,3.698,676.93,37.21,68.254,59.82,0.825
